,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,state,prob,cost,iteration,p,avr_C,gamma
0,0,0,0,10001011,0.01,15,29,1,16.980000000000004,0.01
1,1,1,1,100010101,0.089,-3,31,1,11.656,0.01
2,2,2,2,100010100,0.047,-20,26,1,2.328,0.01
3,3,3,3,10110111,0.023,5,28,1,13.126,0.01
4,4,4,4,100010100,0.037,-20,31,1,1.7739999999999996,0.01
5,5,5,5,100010100,0.045,-20,34,1,0.0210000000000003,0.01
6,6,6,6,100011100,0.035,-21,30,1,1.4879999999999998,0.01
7,7,7,7,100010100,0.056,-20,31,1,-0.2540000000000006,0.01
8,8,8,8,10110,0.022,7,30,1,2.867999999999998,0.01
9,9,9,9,100010110,0.035,-3,29,1,3.173,0.01
10,10,10,10,101,0.026,17,26,1,10.741000000000003,0.01
11,11,11,11,100010111,0.031,-3,36,1,4.160000000000001,0.01
12,12,12,12,100010000,0.03,-3,34,1,3.779999999999999,0.01
13,13,13,13,11,0.044,0,32,1,5.671999999999997,0.01
14,14,14,14,100010101,0.052,-3,30,1,3.0369999999999986,0.01
15,15,15,15,1100,0.027,-1,32,1,12.933999999999992,0.01
16,16,16,16,100010100,0.033,-20,30,1,0.2779999999999998,0.01
17,17,17,17,100,0.013,0,26,1,10.340999999999994,0.01
18,18,18,18,100010100,0.067,-20,33,1,-0.4230000000000004,0.01
19,19,19,19,100010100,0.077,-20,26,1,0.9750000000000002,0.01
20,20,20,20,0,0.084,0,34,1,3.756,0.02
21,21,21,21,100010100,0.06,-20,32,1,0.0849999999999993,0.02
22,22,22,22,11100011,0.021,-3,30,1,13.528000000000006,0.02
23,23,23,23,1011000,0.025,-12,30,1,9.625999999999994,0.02
24,24,24,24,100010100,0.041,-20,29,1,1.8820000000000003,0.02
25,25,25,25,110,0.085,0,29,1,4.020000000000001,0.02
26,26,26,26,100010101,0.055,-3,32,1,5.063999999999996,0.02
27,27,27,27,100010100,0.053,-20,32,1,2.422,0.02
28,28,28,28,100010010,0.061,31,25,1,3.193,0.02
29,29,29,29,100010000,0.048,-3,29,1,3.161,0.02
30,30,30,30,10000,0.018,-10,32,1,9.313000000000008,0.02
31,31,31,31,0,0.072,0,32,1,1.3919999999999997,0.02
32,32,32,32,111110011,0.018,11,28,1,12.798000000000007,0.02
33,33,33,33,11,0.058,0,28,1,10.109999999999998,0.02
34,34,34,34,111,0.036,0,33,1,3.783,0.02
35,35,35,35,100010100,0.025,-20,32,1,6.176999999999993,0.02
36,36,36,36,100010100,0.106,-20,35,1,2.8979999999999984,0.02
37,37,37,37,101001000,0.033,5,33,1,13.142000000000005,0.02
38,38,38,38,100010100,0.061,-20,25,1,3.02,0.02
39,39,39,39,100010100,0.037,-20,30,1,0.5139999999999992,0.02
40,40,40,40,11,0.024,0,37,1,7.409999999999995,0.03
41,41,41,41,11,0.029,0,33,1,6.375999999999995,0.03
42,42,42,42,11,0.029,0,33,1,6.424999999999999,0.03
